domain,name,expr,cost_class,r,degree,width,c_osc,c_composite,delta_fused,is_pfaffian_not_eml,source
avian,UV cone Gaussian S_uv(lam),exp(-(lam - mu_uv)**2/(2*sigma_uv**2)),p1-d5-w0-c0,1,5,0,0,0,0,0,v3
avian,olfactory exp-decay receptor,c_conc*exp(-d*k_decay),p1-d3-w1-c0,1,3,1,0,0,0,0,v3
avian,UV-odor multiplicative integration,c_conc*exp(-d*k_decay)*exp(-(lam - mu_uv)**2/(2*sigma_uv**2)),p1-d6-w2-c0,1,6,2,0,0,0,0,v3
avian,tetrachromatic green cone Gaussian,exp(-(lam - mu_g)**2/(2*sigma_g**2)),p1-d5-w0-c0,1,5,0,0,0,0,0,v3
avian,tetrachromatic red cone Gaussian,exp(-(lam - mu_r)**2/(2*sigma_r**2)),p1-d5-w0-c0,1,5,0,0,0,0,0,v3
avian,magnetoreception cryptochrome,intensity*exp(-k_decay*t)*cos(theta),p2-d4-w2-c1,2,4,2,1,0,0,0,v3
human-syn,sound-taste sigmoid of log-freq,1/(1 + exp(freq_pivot)/freq),p1-d4-w1-c0,1,4,1,0,0,0,0,v3
human-syn,lexical-gustatory phoneme-taste sigmoid,1/(1 + exp(-amp*sin(2*pi*freq*t))),p3-d6-w1-c1,3,6,1,1,0,1,0,v3
human-syn,spatial-sequence number-line distance,exp(-d*k_decay)*Abs(x - y),p1-d4-w1-c0,1,4,1,0,0,0,0,v3
human-syn,mirror-touch synesthesia,intensity*exp(-d*k_decay)*cos(omega*t),p2-d5-w2-c1,2,5,2,1,0,0,0,v3
bat,echo distance c*dt/2,c_sound*delta_t/2,p0-d1-w0-c0,0,1,0,0,0,0,0,v3
bat,Doppler return-frequency ratio,freq*(c_sound + v_speed)/(c_sound - v_speed),p0-d4-w0-c0,0,4,0,0,0,0,0,v3
bat,sonar-smell integration v*exp(-k*d),v_speed*exp(-d*k_decay),p1-d3-w1-c0,1,3,1,0,0,0,0,v3
bat,constant-frequency echo intensity,intensity*exp(-alpha_w*d)/d**2,p1-d3-w1-c0,1,3,1,0,0,0,0,v3
bat,FM chirp call frequency sweep,freq*(alpha_w*t + 1),p0-d3-w0-c0,0,3,0,0,0,0,0,v3
ai-multi,embedding cosine similarity,dot_xy/(sqrt(norm_x)*sqrt(norm_y)),p1-d2-w2-c0,1,2,2,0,0,0,0,v3
ai-multi,adapter-gated fusion (linear),adapter + text_emb/(1 + exp(-emb_dim)),p1-d3-w1-c0,1,3,1,0,0,0,0,v3
ai-multi,attention softmax over keys (toy),exp(dot_xy)/(exp(dot_xy) + exp(norm_x)),p1-d2-w2-c0,1,2,2,0,0,0,0,v3
ai-multi,LayerNorm (toy),(-mu_x_old + x)/sqrt(eps_old + sigma_g**2),p1-d4-w1-c0,1,4,1,0,0,0,0,v3
ai-multi,GELU (toy),x*(erf(sqrt(2)*x/2) + 1)/2,p3-d5-w1-c0,3,5,1,0,0,0,1,v3
ai-multi,RMSNorm (toy),x/sqrt(eps2 + ms),p1-d3-w1-c0,1,3,1,0,0,0,0,v3
plant,phototropin Lambertian I*cos(theta),intensity*cos(theta),p2-d4-w1-c1,2,4,1,1,0,0,0,v3
plant,green-leaf volatile release (saturating),V_max*(1 - exp(-alpha_w*intensity)),p1-d5-w1-c0,1,5,1,0,0,0,0,v3
plant,circadian clock cosine entrainment,intensity*cos(pi*t/12),p2-d5-w1-c1,2,5,1,1,0,0,0,v3
plant,stomatal aperture sigmoid CO2 response,1/(exp(-c_conc + c_pivot) + 1),p1-d3-w1-c0,1,3,1,0,0,1,0,v3
plant,phototropic curvature integral,"gradient*Integral(intensity, t)",p0-d3-w0-c0,0,3,0,0,0,0,0,v3
physics,Hawking temperature T_H,c_light**3*hbar/(8*pi*G_grav*M_mass*k_B),p0-d2-w0-c0,0,2,0,0,0,0,0,v3
physics,neutrino oscillation P(alpha->beta),sin(2*theta_mix)**2*sin(L_path*delta_m_sq/(4*E_energy))**2,p2-d7-w2-c1,2,7,2,1,0,0,0,v3
physics,Planck spectral radiance,2*c_light**2*hbar/(lam**5*(exp(c_light*hbar/(T_temp*k_B*lam)) - 1)),p1-d4-w1-c0,1,4,1,0,0,0,0,v3
physics,Bose-Einstein occupation,1/(exp(E_energy/(T_temp*k_B)) - 1),p1-d3-w1-c0,1,3,1,0,0,1,0,v3
physics,Fermi-Dirac occupation,1/(exp(E_energy/(T_temp*k_B)) + 1),p1-d3-w1-c0,1,3,1,0,0,1,0,v3
physics,Wien displacement (peak wavelength),b_w/T_temp,p0-d2-w0-c0,0,2,0,0,0,0,0,v3
octopus,skin opsin response (Gaussian),exp(-(lam - mu_g)**2/(2*sigma_g**2)),p1-d5-w0-c0,1,5,0,0,0,0,0,v3
octopus,chromatophore expansion sigmoid,1/(1 + exp(-chromatophore_signal)),p1-d1-w1-c0,1,1,1,0,0,1,0,v3
octopus,skin-vision integration,opsin_response/(1 + exp(-chromatophore_signal)),p1-d2-w1-c0,1,2,1,0,0,0,0,v3
octopus,color-changing camouflage time response,V_max*(1 - exp(-alpha_w*t)),p1-d5-w1-c0,1,5,1,0,0,0,0,v3
octopus,iridophore reflectance (Bragg-like cosine),cos(2*pi*d/lam),p2-d5-w0-c1,2,5,0,1,0,0,0,v3
slime-mold,chemoattractant exponential gradient,c_conc*exp(-d*k_decay),p1-d3-w1-c0,1,3,1,0,0,0,0,v3
slime-mold,ATP-driven oscillator (limit cycle),amp*cos(omega*t),p2-d5-w1-c1,2,5,1,1,0,0,0,v3
slime-mold,tubular network optimal-path Hill kernel,gradient**nh/(Kh**nh + gradient**nh),p1-d4-w1-c0,1,4,1,0,0,0,0,v3
slime-mold,swarm-velocity gradient response,gradient*v_speed*exp(-d*k_decay),p1-d3-w1-c0,1,3,1,0,0,0,0,v3
fish-lat,neuromast velocity-pressure response,P_pressure*v_speed/rho_water,p0-d2-w0-c0,0,2,0,0,0,0,0,v3
fish-lat,hair cell deflection sigmoid,1/(1 + exp(-amp*sin(2*pi*freq_lateral*t))),p3-d6-w1-c1,3,6,1,1,0,1,0,v3
fish-lat,flow-direction cosine response,v_speed*cos(theta),p2-d4-w1-c1,2,4,1,1,0,0,0,v3
fish-lat,wave-front time-of-arrival difference,delta_t + d/c_sound,p0-d3-w0-c0,0,3,0,0,0,0,0,v3
fish-lat,schooling neighbour distance Gaussian,exp(-d**2/(2*sigma_g**2)),p1-d3-w0-c0,1,3,0,0,0,0,0,v3
prokaryote-chem,Hill activation (cooperative ligand binding),ligand**n_hill/(K_a**n_hill + ligand**n_hill),p1-d4-w1-c0,1,4,1,0,0,0,0,v3
prokaryote-chem,MWC two-state activity,(1 + ligand/K_a)**N_receptors/((1 + ligand/K_a)**N_receptors + (1 + ligand/(K_a*c_mwc))**N_receptors),p1-d7-w1-c0,1,7,1,0,0,0,0,v3
prokaryote-chem,methylation feedback exponential adaptation,methyl*exp(-k_decay*t),p1-d3-w1-c0,1,3,1,0,0,0,0,v3
prokaryote-chem,CheY-P phosphorylation steady state,k_phos*methyl/(k_dephos + k_phos),p0-d3-w0-c0,0,3,0,0,0,0,0,v3
prokaryote-chem,tumble bias sigmoid of CheY-P,1/(1 + exp(-amp*(chey_p - chey_pivot))),p1-d4-w1-c0,1,4,1,0,0,1,0,v3
cnidarian,hair cell deflection threshold sigmoid,1/(1 + exp(-amp*(deflection - threshold_v))),p1-d4-w1-c0,1,4,1,0,0,1,0,v3
cnidarian,Ca2+ influx exponential decay,ca_influx*exp(-k_decay*t),p1-d3-w1-c0,1,3,1,0,0,0,0,v3
cnidarian,osmotic discharge pressure,osmotic_p*(1 - exp(-alpha_w*t)),p1-d5-w1-c0,1,5,1,0,0,0,0,v3
cnidarian,discharge time piecewise cosine impulse,amp*cos(discharge_t*omega),p2-d5-w1-c1,2,5,1,1,0,0,0,v3
cnidarian,envenomation depth Gaussian,V_max*exp(-d**2/(2*sigma_g**2)),p1-d4-w1-c0,1,4,1,0,0,0,0,v3
mycorrhizal,Michaelis-Menten P uptake,P_conc*V_uptake/(K_m + P_conc),p0-d3-w0-c0,0,3,0,0,0,0,0,v3
mycorrhizal,diffusion-limited transport (Fick),D_diff*gradient,p0-d1-w0-c0,0,1,0,0,0,0,0,v3
mycorrhizal,carbon-phosphate exchange ratio sigmoid,1/(1 + exp(-amp*(-c_pivot2 + carbon_flux))),p1-d4-w1-c0,1,4,1,0,0,1,0,v3
mycorrhizal,hyphal extension rate (saturating),V_max*(1 - exp(-P_conc*alpha_w)),p1-d5-w1-c0,1,5,1,0,0,0,0,v3
mycorrhizal,symbiotic exchange Hill cooperativity,P_conc**n_hill/(K_m**n_hill + P_conc**n_hill),p1-d4-w1-c0,1,4,1,0,0,0,0,v3
tardigrade,trehalose Boltzmann sigmoid,1/(exp((E_b - hydration)/(T_boltz*k_B)) + 1),p1-d4-w1-c0,1,4,1,0,0,1,0,v3
tardigrade,LEA protein cooperative hydration,hydration**n_hill/(K_lea**n_hill + hydration**n_hill),p1-d4-w1-c0,1,4,1,0,0,0,0,v3
tardigrade,anhydrobiosis recovery exponential,V_max*(1 - exp(-alpha_w*recovery_t)),p1-d5-w1-c0,1,5,1,0,0,0,0,v3
tardigrade,trehalose protective shell Gaussian,exp(-(-treh_opt + trehalose)**2/(2*sigma_g**2)),p1-d5-w0-c0,1,5,0,0,0,0,0,v3
tardigrade,dehydration metabolic rate decay,V_max*exp(-k_decay*(1 - hydration)),p1-d5-w1-c0,1,5,1,0,0,0,0,v3
gravitropism,statolith sedimentation velocity (Stokes),d**2*g_grav*rho_diff/eta_visc,p0-d2-w0-c0,0,2,0,0,0,0,0,v3
gravitropism,auxin lateral redistribution sigmoid,auxin/(1 + exp(-amp*sin(psi_angle))),p3-d6-w1-c0,3,6,1,0,0,0,0,v3
gravitropism,Cholodny-Went curvature angle response,curvature*cos(psi_angle),p2-d4-w1-c1,2,4,1,1,0,0,0,v3
gravitropism,PIN protein polarity exponential decay,auxin*exp(-k_decay*t),p1-d3-w1-c0,1,3,1,0,0,0,0,v3
gravitropism,root cap statolith threshold Gaussian,exp(-statolith_v**2/(2*sigma_g**2)),p1-d3-w0-c0,1,3,0,0,0,0,0,v3
ai-multi-tx,Transformer LayerNorm,(-mu_x + x)/sqrt(eps_ln + sigma_x**2),p1-d4-w1-c0,1,4,1,0,0,0,0,v3
ai-multi-tx,Transformer Q projection,Wq*x,p0-d1-w0-c0,0,1,0,0,0,0,0,v3
ai-multi-tx,Transformer K projection,Wk*x,p0-d1-w0-c0,0,1,0,0,0,0,0,v3
ai-multi-tx,Transformer V projection,Wv*x,p0-d1-w0-c0,0,1,0,0,0,0,0,v3
ai-multi-tx,Transformer scaled dot-product,Wk*Wq*x**2/sqrt(d_head),p1-d2-w1-c0,1,2,1,0,0,0,0,v3
ai-multi-tx,Transformer attention softmax (one entry),exp(Wk*Wq*x**2/sqrt(d_head))/(exp(key_norm) + exp(Wk*Wq*x**2/sqrt(d_head))),p2-d4-w2-c0,2,4,2,0,0,0,0,v3
ai-multi-tx,Transformer attention output (one head),Wv*x*exp(Wk*Wq*x**2/sqrt(d_head))/(exp(key_norm) + exp(Wk*Wq*x**2/sqrt(d_head))),p2-d4-w2-c0,2,4,2,0,0,0,0,v3
ai-multi-tx,Transformer GELU exact,x*(erf(sqrt(2)*x/2) + 1)/2,p3-d5-w1-c0,3,5,1,0,0,0,1,v3
ai-multi-tx,Transformer FFN inner GELU,(W1*x/2 + b1/2)*(erf(sqrt(2)*(W1*x + b1)/2) + 1),p3-d6-w1-c0,3,6,1,0,0,0,1,v3
ai-multi-tx,Transformer FFN full output,W2*(W1*x/2 + b1/2)*(erf(sqrt(2)*(W1*x + b1)/2) + 1) + b2,p3-d7-w1-c0,3,7,1,0,0,0,1,v3
ai-multi-tx,Transformer residual after attention,(Wv*x*exp(Wk*Wq*x**2/sqrt(d_head))/(exp(key_norm) + exp(Wk*Wq*x**2/sqrt(d_head))) - mu_x + x)/sqrt(eps_ln + sigma_x**2),p2-d6-w2-c0,2,6,2,0,0,0,0,v3
RANDOM,random #1,intensity,p0-d0-w0-c0,0,0,0,0,0,0,0,v3
RANDOM,random #2,tanh((lam + 1)/(1/100 - gradient)),p1-d5-w0-c0,1,5,0,0,0,0,0,v3
RANDOM,random #3,-V_max/((1/100 + 1/(exp(5 - gradient) + 1))*(intensity + 1/100)),p1-d5-w1-c0,1,5,1,0,0,0,0,v3
RANDOM,random #4,tanh(tanh(V_max**3)),p2-d3-w0-c0,2,3,0,0,0,0,0,v3
RANDOM,random #5,exp(y)/(t + 1/100),p1-d3-w1-c0,1,3,1,0,0,0,0,v3
RANDOM,random #6,exp(-omega**4/2),p1-d3-w0-c0,1,3,0,0,0,0,0,v3
RANDOM,random #7,log(alpha_w + 1),p1-d2-w0-c0,1,2,0,0,0,0,0,v3
RANDOM,random #8,alpha_w**2,p0-d1-w0-c0,0,1,0,0,0,0,0,v3
RANDOM,random #9,(exp(theta) - cos(x))*cos(sin(alpha_w)),p4-d7-w2-c2,4,7,2,2,0,0,0,v3
RANDOM,random #10,x/(30401/40100 - c_conc),p0-d4-w0-c0,0,4,0,0,0,0,0,v3
RANDOM,random #11,freq,p0-d0-w0-c0,0,0,0,0,0,0,0,v3
RANDOM,random #12,omega,p0-d0-w0-c0,0,0,0,0,0,0,0,v3
RANDOM,random #13,tanh(sqrt(intensity + 501/100)),p2-d3-w0-c0,2,3,0,0,0,0,0,v3
RANDOM,random #14,lam/(t + 1/100),p0-d3-w0-c0,0,3,0,0,0,0,0,v3
RANDOM,random #15,1/(1 + exp(-exp(-tanh(amp)**2/2))),p3-d5-w1-c0,3,5,1,0,0,1,0,v3
RANDOM,random #16,-d + 1/(1 + exp(-tanh(y))),p2-d3-w1-c0,2,3,1,0,0,0,0,v3
RANDOM,random #17,2*alpha_w + k_decay + sqrt(c_conc + 1/100)/(lam + 1/100),p1-d4-w1-c0,1,4,1,0,0,0,0,v3
RANDOM,random #18,-omega**3*cos(t),p2-d4-w1-c1,2,4,1,1,0,0,0,v3
RANDOM,random #19,y + exp(-cos(d)**2/2),p3-d7-w1-c1,3,7,1,1,0,0,0,v3
RANDOM,random #20,gradient,p0-d0-w0-c0,0,0,0,0,0,0,0,v3
RANDOM,random #21,exp(d),p1-d1-w0-c0,1,1,0,0,0,0,0,v3
RANDOM,random #22,1/(1 + exp(-gradient)),p1-d1-w1-c0,1,1,1,0,0,1,0,v3
RANDOM,random #23,1/(1 + exp(-sin(k_decay))),p3-d4-w1-c1,3,4,1,1,0,1,0,v3
RANDOM,random #24,1/(1 + exp(-1/(1 + exp(-sin(amp))))),p4-d5-w1-c1,4,5,1,1,0,2,0,v3
RANDOM,random #25,exp(lam),p1-d1-w0-c0,1,1,0,0,0,0,0,v3
RANDOM,random #26,Abs(theta) + 1,p0-d2-w0-c0,0,2,0,0,0,0,0,v3
RANDOM,random #27,sin(cos(2*d)),p4-d7-w0-c2,4,7,0,2,0,0,0,v3
RANDOM,random #28,sin(log(Abs(gradient) + 1)),p3-d6-w0-c1,3,6,0,1,0,0,0,v3
RANDOM,random #29,lam,p0-d0-w0-c0,0,0,0,0,0,0,0,v3
RANDOM,random #30,cos(tanh(alpha_w)) - exp(-81/2),p3-d5-w2-c1,3,5,2,1,0,0,0,v3
RANDOM,random #31,log(t + 1),p1-d2-w0-c0,1,2,0,0,0,0,0,v3
RANDOM,random #32,sqrt(lam + 1/100),p1-d2-w0-c0,1,2,0,0,0,0,0,v3
RANDOM,random #33,sqrt(alpha_w**3 + 1/100),p1-d3-w0-c0,1,3,0,0,0,0,0,v3
RANDOM,random #34,k_decay,p0-d0-w0-c0,0,0,0,0,0,0,0,v3
RANDOM,random #35,-theta,p0-d1-w0-c0,0,1,0,0,0,0,0,v3
RANDOM,random #36,1/(exp(-alpha_w + y) + 1),p1-d3-w1-c0,1,3,1,0,0,1,0,v3
RANDOM,random #37,-amp,p0-d1-w0-c0,0,1,0,0,0,0,0,v3
RANDOM,random #38,-V_max,p0-d1-w0-c0,0,1,0,0,0,0,0,v3
RANDOM,random #39,1/(1 + exp(-k_decay)),p1-d1-w1-c0,1,1,1,0,0,1,0,v3
RANDOM,random #40,(1 - y)**3*cos(intensity),p2-d4-w1-c1,2,4,1,1,0,0,0,v3
RANDOM,random #41,sqrt(1/100 + 1/(exp(k_decay - 2) + 1)),p2-d4-w1-c0,2,4,1,0,0,0,0,v3
RANDOM,random #42,(y + log(Abs(gradient) + 1) + 5)/(1 + exp(-alpha_w)),p1-d5-w2-c0,1,5,2,0,0,0,0,v3
RANDOM,random #43,cos(sin(sqrt(amp + 1/100))),p5-d8-w0-c2,5,8,0,2,0,0,0,v3
RANDOM,random #44,alpha_w,p0-d0-w0-c0,0,0,0,0,0,0,0,v3
RANDOM,random #45,sqrt(omega*Abs(gradient) + 1/100),p1-d4-w0-c0,1,4,0,0,0,0,0,v3
RANDOM,random #46,tanh(alpha_w),p1-d1-w0-c0,1,1,0,0,0,0,0,v3
RANDOM,random #47,sin(tanh(1/(1 + exp(-y)))),p4-d5-w1-c1,4,5,1,1,0,0,0,v3
RANDOM,random #48,amp,p0-d0-w0-c0,0,0,0,0,0,0,0,v3
RANDOM,random #49,sin(cos(gradient - 5)),p4-d7-w0-c2,4,7,0,2,0,0,0,v3
RANDOM,random #50,cos(125),p2-d3-w0-c1,2,3,0,1,0,0,0,v3
cardiac,action-potential pacemaker cosine,A_ap*cos(2*pi*t/T_cycle),p2-d6-w1-c1,2,6,1,1,0,0,0,v5
cardiac,sinoatrial LC resonance frequency,1/(2*pi*sqrt(C_cap)*sqrt(L_ind)),p1-d2-w2-c0,1,2,2,0,0,0,0,v5
cardiac,HRV exponential decay,exp(-t/tau_hrv),p1-d3-w0-c0,1,3,0,0,0,0,0,v5
cardiac,QRS Gaussian peak,exp(-(t - t_peak)**2/(2*sigma_qrs**2)),p1-d5-w0-c0,1,5,0,0,0,0,0,v5
respiratory,pre-Botzinger rhythm cosine,amp*cos(omega_resp*t),p2-d5-w1-c1,2,5,1,1,0,0,0,v5
respiratory,tidal volume sinusoid,V_T*sin(omega_breath*t),p2-d5-w1-c1,2,5,1,1,0,0,0,v5
respiratory,lung compliance pressure-volume decay,V_T*exp(-P_aw/tau_compl),p1-d4-w1-c0,1,4,1,0,0,0,0,v5
respiratory,alveolar gas exchange saturation,1 - exp(-k_gas*t),p1-d4-w1-c0,1,4,1,0,0,0,0,v5
eeg,alpha-band oscillator (8-13 Hz),A_alpha*cos(2*pi*f_alpha*t),p2-d5-w1-c1,2,5,1,1,0,0,0,v5
eeg,beta-band oscillator (13-30 Hz),A_beta*cos(2*pi*f_beta*t),p2-d5-w1-c1,2,5,1,1,0,0,0,v5
eeg,gamma-band oscillator (30-100 Hz),A_gamma*cos(2*pi*f_gamma*t),p2-d5-w1-c1,2,5,1,1,0,0,0,v5
eeg,membrane potential RC decay,V_m*exp(-t/tau_m),p1-d4-w1-c0,1,4,1,0,0,0,0,v5
physics-osc,pendulum small-angle theta(t),theta0*cos(sqrt(g_grav)*t/sqrt(L_pend)),p3-d6-w2-c1,3,6,2,1,0,0,0,v6
physics-osc,spring SHO position x(t),x0*cos(omega*t),p2-d5-w1-c1,2,5,1,1,0,0,0,v6
physics-osc,RC AC voltage V(t),V0*sin(omega_AC*t),p2-d5-w1-c1,2,5,1,1,0,0,0,v6
physics-osc,planetary mean-anomaly sin term,e_eccent*sin(M_anom),p2-d4-w1-c1,2,4,1,1,0,0,0,v6
physics-osc,vocal fold vibration,A_vfold*cos(omega_vfold*t),p2-d5-w1-c1,2,5,1,1,0,0,0,v6
physics-osc,kinetic energy (control),V0**2*m_mass/2,p0-d2-w0-c0,0,2,0,0,0,0,0,v6
physics-osc,RC time constant decay (control),V0*exp(-t/(C_cap*R_res)),p1-d4-w1-c0,1,4,1,0,0,0,0,v6
physics-osc,Newton gravitation 1/r^2 (control),g_grav*m_mass/L_pend**2,p0-d2-w0-c0,0,2,0,0,0,0,0,v6
physics-osc,kinetic friction force (control),g_grav*m_mass*mu_kin,p0-d1-w0-c0,0,1,0,0,0,0,0,v6
physics-osc,Hooke's law restoring force (control),k_spring*x0,p0-d1-w0-c0,0,1,0,0,0,0,0,v6
engineering-osc,PLL VCO output,A_PLL*cos(omega_PLL*t),p2-d5-w1-c1,2,5,1,1,0,0,0,v6
engineering-osc,FM carrier (no modulation),A_FM*cos(omega_FM*t),p2-d5-w1-c1,2,5,1,1,0,0,0,v6
engineering-osc,AM carrier (envelope = 1),A_AM*cos(omega_AM*t),p2-d5-w1-c1,2,5,1,1,0,0,0,v6
engineering-osc,Wien-bridge op-amp output,A_Wien*sin(omega_Wien*t),p2-d5-w1-c1,2,5,1,1,0,0,0,v6
engineering-osc,crystal resonator output,A_xtal*sin(omega_xtal*t),p2-d5-w1-c1,2,5,1,1,0,0,0,v6
engineering-osc,PLL open-loop gain (control),A_loop*R_open/N_div,p0-d2-w0-c0,0,2,0,0,0,0,0,v6
engineering-osc,SNR ratio (control),S_pwr/N_noise,p0-d2-w0-c0,0,2,0,0,0,0,0,v6
engineering-osc,low-pass filter exp settling (control),V0*(1 - exp(-t/tau_filter)),p1-d6-w1-c0,1,6,1,0,0,0,0,v6
engineering-osc,Q-factor amplitude rolloff (control),A_xtal/Q_factor,p0-d2-w0-c0,0,2,0,0,0,0,0,v6
engineering-osc,FM modulation index (control),beta_FM*omega_FM/omega_AM,p0-d2-w0-c0,0,2,0,0,0,0,0,v6
slime-mold-v7,Ca2+ oscillation,A_ca*cos(omega_ca*t),p2-d5-w1-c1,2,5,1,1,0,0,0,v7
slime-mold-v7,peristaltic wave,-A_per*sin(k_per*x - omega_per*t),p2-d6-w1-c1,2,6,1,1,0,0,0,v7
slime-mold-v7,foraging Hill-kernel gradient response,gradient**n_hill/(K_h**n_hill + gradient**n_hill),p1-d4-w1-c0,1,4,1,0,0,0,0,v7
slime-mold-v7,Kuramoto-coupled-tube phase coupling,J_coup*sin(theta_a - theta_b),p2-d6-w1-c1,2,6,1,1,0,0,0,v7
slime-mold-v7,decision pulse damped cosine,A_dec*exp(-t/tau_dec)*cos(omega_dec*t),p2-d5-w1-c1,2,5,1,1,0,0,0,v7
avian-syn,UV cone Gaussian,exp(-(lam - mu_uv)**2/(2*sigma_uv**2)),p1-d5-w0-c0,1,5,0,0,0,0,0,v7
avian-syn,octanal olfaction Hill,octanal**n_hill/(K_o**n_hill + octanal**n_hill),p1-d4-w1-c0,1,4,1,0,0,0,0,v7
avian-syn,pallium multimodal product,olfaction*visual_input,p0-d1-w0-c0,0,1,0,0,0,0,0,v7
avian-syn,color-smell synesthetic carrier,exp(-k_scent*scent_d)*cos(lam*omega_color),p2-d5-w2-c1,2,5,2,1,0,0,0,v7
mycorrhizal,fungal action potential cosine,A_fung*cos(omega_fung*t),p2-d5-w1-c1,2,5,1,1,0,0,0,v7
mycorrhizal,nutrient pulse saturating exponential,V_max*(1 - exp(-k_nut*t)),p1-d5-w1-c0,1,5,1,0,0,0,0,v7
mycorrhizal,Kuramoto-style network coupling,J_myc*cos(phi_myc),p2-d4-w1-c1,2,4,1,1,0,0,0,v7
mycorrhizal,sugar transport sigmoid,1/(exp(K_sug - sugar_conc) + 1),p1-d3-w1-c0,1,3,1,0,0,1,0,v7
plant-ap,Venus flytrap depolarization,V_trap*(1 - exp(-t/tau_trap))*cos(omega_trap*t),p2-d6-w1-c1,2,6,1,1,0,0,0,v7
plant-ap,Mimosa pudica damped cosine fold,A_mim*exp(-t/tau_mim)*cos(omega_mim*t),p2-d5-w1-c1,2,5,1,1,0,0,0,v7
plant-ap,K+ efflux Nernst potential,-T_temp*log(K_in/K_out),p1-d4-w1-c0,1,4,1,0,0,0,0,v7
plant-ap,spike-train exponential decay,A_spike*exp(-t/tau_spike),p1-d4-w1-c0,1,4,1,0,0,0,0,v7
bacterial-qs,AHL quorum detection Hill,1/((K_qs/AHL)**n_hill + 1),p1-d5-w1-c0,1,5,1,0,0,0,0,v7
bacterial-qs,AHL production rate (autoinducer feedback),R_max*(1 - 1/((qs/K_qs2)**n_hill + 1)),p1-d8-w1-c0,1,8,1,0,0,0,0,v7
bacterial-qs,biofilm cosine wave,A_bio*cos(k_bio*x - omega_bio*t),p2-d6-w1-c1,2,6,1,1,0,0,0,v7
bacterial-qs,Hopf bifurcation seed,mu_hopf*cos(omega_hopf*t),p2-d5-w1-c1,2,5,1,1,0,0,0,v7
ml-loss,MSE,(x - y)**2,p0-d3-w0-c0,0,3,0,0,0,0,0,v8-new
ml-loss,MAE,Abs(x - y),p0-d3-w0-c0,0,3,0,0,0,0,0,v8-new
ml-loss,binary cross-entropy,-y*log(x) - (1 - y)*log(1 - x),p1-d5-w1-c0,1,5,1,0,0,0,0,v8-new
ml-loss,categorical cross-entropy,-log(x),p1-d2-w1-c0,1,2,1,0,0,0,0,v8-new
