domain,name,expr,cost_class,r,degree,width,c_osc,c_composite,delta_fused,is_pfaffian_not_eml,source
crypto,MurmurHash3 algebraic core,x*c,p0-d1-w0-c0,0,1,0,0,0,0,0,E196_algorithmic
crypto,ECDSA signature s-value,(z + r*d)/k,p0-d3-w0-c0,0,3,0,0,0,0,0,E196_algorithmic
crypto,Discrete log target,g**x,p1-d1-w0-c0,1,1,0,0,0,0,0,E196_algorithmic
graph,PageRank single-vertex update (per-iteration),(1 - d)/Nv + d*PR_j/L_j,p0-d4-w0-c0,0,4,0,0,0,0,0,E196_algorithmic
graph,"Softmax attention (single key, log-form)",exp(q*k/sqrt(d)),p2-d3-w1-c0,2,3,1,0,0,0,0,E196_algorithmic
graph,Graph Laplacian eigenvalue characteristic,lam**2 - tr*lam + dt,p0-d2-w0-c0,0,2,0,0,0,0,0,E196_algorithmic
graph,Dijkstra relaxation (continuous skeleton),d_u + w,p0-d1-w0-c0,0,1,0,0,0,0,0,E196_algorithmic
graph,Network flow capacity inequality,f - c,p0-d2-w0-c0,0,2,0,0,0,0,0,E196_algorithmic
graph,Watts-Strogatz clustering coefficient law,1/k,p0-d1-w0-c0,0,1,0,0,0,0,0,E196_algorithmic
graph,Barabasi-Albert degree distribution,1/k**3,p0-d1-w0-c0,0,1,0,0,0,0,0,E196_algorithmic
graph,Spectral radius (2x2 closed form),(tr + sqrt(tr**2 - 4*dt))/2,p1-d5-w1-c0,1,5,1,0,0,0,0,E196_algorithmic
signal,DFT basis kernel (real part),cos(2*pi*k*n/Nlen),p2-d5-w0-c1,2,5,0,1,0,0,0,E196_algorithmic
signal,Gaussian window,exp(-n**2/(2*sigma**2)),p1-d3-w0-c0,1,3,0,0,0,0,0,E196_algorithmic
signal,Hann window,(1 - cos(2*pi*n/Nlen))/2,p2-d7-w1-c1,2,7,1,1,0,0,0,E196_algorithmic
signal,Butterworth filter magnitude,1/sqrt(1 + (omega/omega_c)**(2*n)),p2-d5-w1-c0,2,5,1,0,0,0,0,E196_algorithmic
signal,Chebyshev polynomial T_3,4*x**3 - 3*x,p0-d3-w0-c0,0,3,0,0,0,0,0,E196_algorithmic
signal,Sinc function,sin(pi*x)/(pi*x),p2-d5-w1-c1,2,5,1,1,0,0,0,E196_algorithmic
signal,Gabor wavelet,exp(-t**2/(2*sigma**2))*cos(omega*t),p2-d5-w1-c1,2,5,1,1,0,0,0,E196_algorithmic
signal,Morlet wavelet (real part),exp(-t**2/2)*cos(omega_0*t),p2-d5-w1-c1,2,5,1,1,0,0,0,E196_algorithmic
signal,Kaiser window (PNE: Bessel I0),"besseli(0, bp*sqrt(1 - (2*n/Nlen - 1)**2))/besseli(0, bp)",p4-d10-w1-c0,4,10,1,0,0,0,1,E196_algorithmic
signal,Mel scale,"2595*log(1 + f/700, 10)",p1-d4-w2-c0,1,4,2,0,0,0,0,E196_algorithmic
numerical,Newton's method update,x - f/fprime,p0-d3-w0-c0,0,3,0,0,0,0,0,E196_algorithmic
numerical,Euler ODE step,y + h*f,p0-d2-w0-c0,0,2,0,0,0,0,0,E196_algorithmic
numerical,Runge-Kutta k1,h*f,p0-d1-w0-c0,0,1,0,0,0,0,0,E196_algorithmic
numerical,Runge-Kutta k2 (skeleton),h*f_mid,p0-d1-w0-c0,0,1,0,0,0,0,0,E196_algorithmic
numerical,Simpson's rule,h*(f_a + 4*f_m + f_b)/3,p0-d3-w0-c0,0,3,0,0,0,0,0,E196_algorithmic
numerical,Gauss-Legendre weight (n=2 example),2/((1 - x**2)*(2*x)**2),p0-d5-w0-c0,0,5,0,0,0,0,0,E196_algorithmic
numerical,Condition number proxy,norm_A*norm_Ainv,p0-d1-w0-c0,0,1,0,0,0,0,0,E196_algorithmic
numerical,Central finite difference,(f_plus - f_minus)/(2*h),p0-d3-w0-c0,0,3,0,0,0,0,0,E196_algorithmic
numerical,Lagrange basis polynomial (single term),(x - x_j)/(x_i - x_j),p0-d4-w0-c0,0,4,0,0,0,0,0,E196_algorithmic
numerical,Cubic spline single-segment,a + b*(x - x_i) + c*(x - x_i)**2 + d*(x - x_i)**3,p0-d5-w0-c0,0,5,0,0,0,0,0,E196_algorithmic
ml,Sigmoid,1/(1 + exp(-x)),p1-d1-w1-c0,1,1,1,0,0,1,0,E196_algorithmic
ml,GELU exact,x*(1 + erf(x/sqrt(2)))/2,p3-d5-w1-c0,3,5,1,0,0,0,1,E196_algorithmic
ml,ReLU (continuous skeleton),(x + sqrt(x**2))/2,p1-d4-w1-c0,1,4,1,0,0,0,0,E196_algorithmic
ml,Cross-entropy single term,-y*log(p),p1-d2-w1-c0,1,2,1,0,0,0,0,E196_algorithmic
ml,"Softmax (single output, two-class)",exp(x_i)/(exp(x_i) + exp(x_j)),p1-d2-w2-c0,1,2,2,0,0,0,0,E196_algorithmic
ml,Adam update single dimension (no bias correction),m/(sqrt(v) + eps),p1-d4-w1-c0,1,4,1,0,0,0,0,E196_algorithmic
ml,Batch norm (per-feature),(x - mu)/sqrt(sigma**2 + eps),p1-d4-w1-c0,1,4,1,0,0,0,0,E196_algorithmic
ml,Layer norm (per-feature),(x - mu)/sigma * g + b,p0-d4-w0-c0,0,4,0,0,0,0,0,E196_algorithmic
ml,Dropout inverse-scaling,x/(1 - p),p0-d4-w0-c0,0,4,0,0,0,0,0,E196_algorithmic
ml,Exponential learning-rate decay,lr_0*exp(-lam*t),p1-d3-w1-c0,1,3,1,0,0,0,0,E196_algorithmic
engineering_physics,Magnetic flux,B*A*cos(phi),p2-d4-w1-c1,2,4,1,1,0,0,0,E196_algorithmic
engineering_physics,Faraday EMF,B*A*omega*sin(omega*t),p2-d5-w1-c1,2,5,1,1,0,0,0,E196_algorithmic
engineering_physics,Lorentz force magnitude,q*v*B*sin(phi),p2-d4-w1-c1,2,4,1,1,0,0,0,E196_algorithmic
engineering_physics,Magnetic energy density,B**2/(2*mu_0),p0-d2-w0-c0,0,2,0,0,0,0,0,E196_algorithmic
engineering_physics,Natural frequency,sqrt(k/m),p1-d3-w0-c0,1,3,0,0,0,0,0,E196_algorithmic
engineering_physics,Damping ratio,c/(2*sqrt(k*m)),p1-d3-w1-c0,1,3,1,0,0,0,0,E196_algorithmic
engineering_physics,Damped frequency,omega_n*sqrt(1 - Zd**2),p1-d5-w1-c0,1,5,1,0,0,0,0,E196_algorithmic
engineering_physics,Damped harmonic oscillator,A*exp(-Zd*omega_n*t)*cos(omega_d*t),p2-d5-w1-c1,2,5,1,1,0,0,0,E196_algorithmic
engineering_physics,Undamped harmonic oscillator,A*cos(omega_n*t),p2-d5-w1-c1,2,5,1,1,0,0,0,E196_algorithmic
engineering_physics,FFT cosine basis,cos(2*pi*k_freq*n/Nlen),p2-d5-w0-c1,2,5,0,1,0,0,0,E196_algorithmic
engineering_physics,Gaussian window,exp(-n**2/(2*sigma**2)),p1-d3-w0-c0,1,3,0,0,0,0,0,E196_algorithmic
engineering_physics,Hann window,(1 - cos(2*pi*n/Nlen))/2,p2-d7-w1-c1,2,7,1,1,0,0,0,E196_algorithmic
engineering_physics,Magnetometer period,2*pi*sqrt(Iner/(m_mag*B)),p1-d4-w1-c0,1,4,1,0,0,0,0,E196_algorithmic
engineering_physics,Motor back-EMF,K*omega*sin(theta),p2-d4-w1-c1,2,4,1,1,0,0,0,E196_algorithmic
engineering_physics,Coupled magneto-vibration,A*exp(-Zd*omega_n*t)*cos(omega_d*t) + (q*v*B/k)*sin(omega*t),p2-d6-w1-c1,2,6,1,1,0,0,0,E196_algorithmic
robotics,PID P-term,Kp*e,p0-d1-w0-c0,0,1,0,0,0,0,0,robotics_subdomain_2026_04_27
robotics,PID D-term,Kd*de_dt,p0-d1-w0-c0,0,1,0,0,0,0,0,robotics_subdomain_2026_04_27
robotics,PID transfer function,Kd*s + Ki/s + Kp,p0-d3-w0-c0,0,3,0,0,0,0,0,robotics_subdomain_2026_04_27
robotics,PID step response,-(cos(omega_d*t) + omega_n*zeta*sin(omega_d*t)/omega_d)*exp(-omega_n*t*zeta) + 1,p2-d8-w1-c1,2,8,1,1,0,0,0,robotics_subdomain_2026_04_27
robotics,Overshoot,exp(-pi*zeta/sqrt(1 - zeta**2)),p2-d6-w1-c0,2,6,1,0,0,0,0,robotics_subdomain_2026_04_27
robotics,Settling time,4/(omega_n*zeta),p0-d2-w0-c0,0,2,0,0,0,0,0,robotics_subdomain_2026_04_27
robotics,Rotation cos,cos(theta),p2-d3-w0-c1,2,3,0,1,0,0,0,robotics_subdomain_2026_04_27
robotics,FK 2-link x,L1*cos(theta1) + L2*cos(theta1 + theta2),p2-d6-w1-c1,2,6,1,1,0,0,0,robotics_subdomain_2026_04_27
robotics,FK 2-link y,L1*sin(theta1) + L2*sin(theta1 + theta2),p2-d6-w1-c1,2,6,1,1,0,0,0,robotics_subdomain_2026_04_27
robotics,IK law of cosines,(-L1**2 - L2**2 + x_pos**2 + y_pos**2)/(2*L1*L2),p0-d4-w0-c0,0,4,0,0,0,0,0,robotics_subdomain_2026_04_27
robotics,IK theta2 via atan2,"atan2(sqrt(1 - (-L1**2 - L2**2 + x_pos**2 + y_pos**2)**2/(4*L1**2*L2**2)), (-L1**2 - L2**2 + x_pos**2 + y_pos**2)/(2*L1*L2))",p1-d8-w0-c0,1,8,0,0,0,0,0,robotics_subdomain_2026_04_27
robotics,Jacobian determinant,L1*L2*sin(theta2),p2-d4-w1-c1,2,4,1,1,0,0,0,robotics_subdomain_2026_04_27
robotics,DH matrix element,sin(alpha_dh)*sin(theta),p2-d4-w2-c1,2,4,2,1,0,0,0,robotics_subdomain_2026_04_27
robotics,Quaternion q0,cos(theta/2),p2-d4-w0-c1,2,4,0,1,0,0,0,robotics_subdomain_2026_04_27
robotics,SLERP coefficient,sin(Omega*(1 - t_i))/sin(Omega),p2-d7-w1-c1,2,7,1,1,0,0,0,robotics_subdomain_2026_04_27
robotics,Kalman gain,P/(P + R),p0-d3-w0-c0,0,3,0,0,0,0,0,robotics_subdomain_2026_04_27
robotics,Kalman update,K*(-H*x_old + z) + x_old,p0-d4-w0-c0,0,4,0,0,0,0,0,robotics_subdomain_2026_04_27
robotics,Complementary filter,accel*(1 - alpha_cf) + alpha_cf*(dt*gyro + theta_est),p0-d4-w0-c0,0,4,0,0,0,0,0,robotics_subdomain_2026_04_27
robotics,Gaussian noise PDF,sqrt(2)*exp(-x_n**2/(2*sigma_s**2))/(2*sqrt(pi)*sigma_s),p1-d4-w3-c0,1,4,3,0,0,0,0,robotics_subdomain_2026_04_27
robotics,Cubic trajectory,a0 + a1*t + a2*t**2 + a3*t**3,p0-d3-w0-c0,0,3,0,0,0,0,0,robotics_subdomain_2026_04_27
robotics,Minimum jerk,q0 + (-q0 + qf)*(10*t**3/T**3 - 15*t**4/T**4 + 6*t**5/T**5),p0-d5-w0-c0,0,5,0,0,0,0,0,robotics_subdomain_2026_04_27
robotics,Repulsive potential,eta*(-1/d0 + 1/d)**2/d**2,p0-d5-w0-c0,0,5,0,0,0,0,0,robotics_subdomain_2026_04_27
robotics,Quadratic cost,tau1**2 + tau2**2 + tau3**2,p0-d2-w0-c0,0,2,0,0,0,0,0,robotics_subdomain_2026_04_27
robotics,Single joint torque,I*theta_ddot + b*theta_dot + g*l*m*sin(theta),p2-d5-w1-c1,2,5,1,1,0,0,0,robotics_subdomain_2026_04_27
robotics,Gravity compensation,g*l*m*(sin(theta1) + sin(theta1 + theta2)),p2-d6-w1-c1,2,6,1,1,0,0,0,robotics_subdomain_2026_04_27
human_body,Alpha wave,A*sin(phi + 20*pi*t),p2-d6-w1-c1,2,6,1,1,0,0,0,human_body_subdomain_2026_04_27
human_body,Coupled alpha-theta,A1*sin(omega1*t) + A2*sin(omega2*t),p2-d6-w1-c1,2,6,1,1,0,0,0,human_body_subdomain_2026_04_27
human_body,Phase-amplitude coupling,A*(m*sin(t*w_f) + 1)*sin(t*w_s),p2-d7-w1-c1,2,7,1,1,0,0,0,human_body_subdomain_2026_04_27
human_body,EEG 1/f spectrum,A/f**alpha_exp,p1-d3-w1-c0,1,3,1,0,0,0,0,human_body_subdomain_2026_04_27
human_body,Respiratory sinus arrhythmia,A*sin(2*pi*f_resp*t) + HR0,p2-d6-w1-c1,2,6,1,1,0,0,0,human_body_subdomain_2026_04_27
human_body,Mean arterial pressure,2*DBP/3 + SBP/3,p0-d2-w0-c0,0,2,0,0,0,0,0,human_body_subdomain_2026_04_27
human_body,Cardiac output,HR*SV,p0-d1-w0-c0,0,1,0,0,0,0,0,human_body_subdomain_2026_04_27
human_body,Fick equation,HR*SV*(CaO2 - CvO2),p0-d3-w0-c0,0,3,0,0,0,0,0,human_body_subdomain_2026_04_27
human_body,Windkessel decay,P0*exp(-t/(C_v*R_v)),p1-d4-w1-c0,1,4,1,0,0,0,0,human_body_subdomain_2026_04_27
human_body,ECG Gaussian pulse,A*exp(-t**2/(2*sigma_e**2)),p1-d4-w1-c0,1,4,1,0,0,0,0,human_body_subdomain_2026_04_27
human_body,Harris-Benedict BMR,-5677*Age/1000 + 4799*H/1000 + 13397*W/1000 + 44181/500,p0-d2-w0-c0,0,2,0,0,0,0,0,human_body_subdomain_2026_04_27
human_body,Michaelis-Menten enzyme,S*Vmax/(Km + S),p0-d3-w0-c0,0,3,0,0,0,0,0,human_body_subdomain_2026_04_27
human_body,Arrhenius rate,A_arr*exp(-Ea/(R_g*T)),p1-d4-w1-c0,1,4,1,0,0,0,0,human_body_subdomain_2026_04_27
human_body,Circadian Hill production,K**n_c*v1/(K**n_c + Z**n_c),p1-d4-w1-c0,1,4,1,0,0,0,0,human_body_subdomain_2026_04_27
human_body,Circadian damped oscillator,A*exp(-lambda_c*t)*cos(pi*t/12),p2-d5-w1-c1,2,5,1,1,0,0,0,human_body_subdomain_2026_04_27
human_body,HRV 3-rhythm superposition,A_c*sin(pi*t/43200) + A_h*sin(12*pi*t/5) + A_r*sin(pi*t/2),p2-d6-w1-c1,2,6,1,1,0,0,0,human_body_subdomain_2026_04_27
human_body,Action potential,A*exp(-t/tau_m)*sin(omega*t) + V_rest,p2-d6-w1-c1,2,6,1,1,0,0,0,human_body_subdomain_2026_04_27
human_body,STDP potentiation,A*exp(-dt/tau_plus),p1-d4-w1-c0,1,4,1,0,0,0,0,human_body_subdomain_2026_04_27
human_body,Wilson-Cowan sigmoid,1/(1 + exp(-a_wc*(t - theta))),p1-d4-w1-c0,1,4,1,0,0,1,0,human_body_subdomain_2026_04_27
human_body,Goldman equation,R_g2*T2*log((Ko*PK + Nao*PNa)/(Ki*PK + Nai*PNa))/F,p1-d6-w1-c0,1,6,1,0,0,0,0,human_body_subdomain_2026_04_27
human_body,Nernst equation,R_g2*T2*log(ion_o/ion_i)/(F*z),p1-d4-w1-c0,1,4,1,0,0,0,0,human_body_subdomain_2026_04_27
human_body,Logistic cell growth,K_cap/(1 + exp(-r_gr*(t - t0))),p1-d5-w1-c0,1,5,1,0,0,0,0,human_body_subdomain_2026_04_27
music_sound,Pure tone,A*sin(2*pi*f*t + phi),p2-d6-w1-c1,2,6,1,1,0,0,0,music_sound_subdomain_2026_04_27
music_sound,Period,1/f,p0-d1-w0-c0,0,1,0,0,0,0,0,music_sound_subdomain_2026_04_27
music_sound,Traveling wave,A*sin(k*x - omega*t),p2-d6-w1-c1,2,6,1,1,0,0,0,music_sound_subdomain_2026_04_27
music_sound,Standing wave,2*A*sin(k*x)*cos(omega*t),p2-d5-w2-c1,2,5,2,1,0,0,0,music_sound_subdomain_2026_04_27
music_sound,4 harmonics,A*sin(2*pi*f*t) + A*sin(4*pi*f*t)/2 + A*sin(6*pi*f*t)/3 + A*sin(8*pi*f*t)/4,p2-d6-w1-c1,2,6,1,1,0,0,0,music_sound_subdomain_2026_04_27
music_sound,8 harmonics,A*sin(2*pi*f*t) + A*sin(4*pi*f*t)/2 + A*sin(6*pi*f*t)/3 + A*sin(8*pi*f*t)/4 + A*sin(10*pi*f*t)/5 + A*sin(12*pi*f*t)/6 + A*sin(14*pi*f*t)/7 + A*sin(16*pi*f*t)/8,p2-d6-w1-c1,2,6,1,1,0,0,0,music_sound_subdomain_2026_04_27
music_sound,Equal temperament,2**(n/12)*f_0,p1-d3-w1-c0,1,3,1,0,0,0,0,music_sound_subdomain_2026_04_27
music_sound,Beat frequency,sin(pi*t*(f1 + f2))*cos(pi*t*(f1 - f2)),p2-d7-w1-c1,2,7,1,1,0,0,0,music_sound_subdomain_2026_04_27
music_sound,Cents,1200*log(f2/f1)/log(2),p1-d4-w2-c0,1,4,2,0,0,0,0,music_sound_subdomain_2026_04_27
music_sound,MIDI to freq,440*2**(m/12 - 23/4),p1-d4-w1-c0,1,4,1,0,0,0,0,music_sound_subdomain_2026_04_27
music_sound,Decibels,20*log(P/P_ref)/log(10),p1-d4-w2-c0,1,4,2,0,0,0,0,music_sound_subdomain_2026_04_27
music_sound,Mel scale,2595*log(f/700 + 1)/log(10),p1-d4-w2-c0,1,4,2,0,0,0,0,music_sound_subdomain_2026_04_27
music_sound,Bark scale,13*atan(19*f/25000) + 7*atan(f**2/56250000)/2,p1-d5-w1-c0,1,5,1,0,0,0,0,music_sound_subdomain_2026_04_27
music_sound,Fletcher-Munson,f**2/10000000 + 20*log(P/P_ref)/log(10),p1-d5-w2-c0,1,5,2,0,0,0,0,music_sound_subdomain_2026_04_27
music_sound,ADSR attack,A*(1 - exp(-t/tau_a)),p1-d6-w1-c0,1,6,1,0,0,0,0,music_sound_subdomain_2026_04_27
music_sound,ADSR decay,A*(S + (1 - S)*exp(-t/tau_d)),p1-d6-w1-c0,1,6,1,0,0,0,0,music_sound_subdomain_2026_04_27
music_sound,FM synthesis,A*sin(I*sin(2*pi*f_m*t) + 2*pi*f_c*t),p4-d10-w1-c2,4,10,1,2,0,0,0,music_sound_subdomain_2026_04_27
music_sound,Karplus-Strong damp,(1/2)**t,p1-d1-w0-c0,1,1,0,0,0,0,0,music_sound_subdomain_2026_04_27
music_sound,Low-pass filter,1/(omega**2/omega_c**2 + 1),p0-d4-w0-c0,0,4,0,0,0,0,0,music_sound_subdomain_2026_04_27
music_sound,Reverb,exp(-alpha*t)*sin(omega*t),p2-d5-w1-c1,2,5,1,1,0,0,0,music_sound_subdomain_2026_04_27
music_sound,Sinc,sin(pi*x)/(pi*x),p2-d5-w1-c1,2,5,1,1,0,0,0,music_sound_subdomain_2026_04_27
olfactory,Hill symbolic n,C**n*I_max/(C**n + K_half**n),p1-d4-w1-c0,1,4,1,0,0,0,0,olfactory_subdomain_2026_04_27
olfactory,Hill n=2,C**2*I_max/(C**2 + K_half**2),p0-d4-w0-c0,0,4,0,0,0,0,0,olfactory_subdomain_2026_04_27
olfactory,Michaelis-Menten,C*I_max/(C + K_half),p0-d3-w0-c0,0,3,0,0,0,0,0,olfactory_subdomain_2026_04_27
olfactory,Euclidean mixture,sqrt(I1**2 + I2**2 + I3**2),p1-d3-w0-c0,1,3,0,0,0,0,0,olfactory_subdomain_2026_04_27
olfactory,Cosine similarity,(a1*b1 + a2*b2)/(sqrt(a1**2 + a2**2)*sqrt(b1**2 + b2**2)),p1-d4-w2-c0,1,4,2,0,0,0,0,olfactory_subdomain_2026_04_27
olfactory,Bond vibration freq,sqrt(k_bond)/(2*pi*sqrt(mu)),p1-d2-w2-c0,1,2,2,0,0,0,0,olfactory_subdomain_2026_04_27
olfactory,Quantum tunneling,exp(-2*sqrt(2)*sqrt(E_b)*d*sqrt(m_e)/hbar),p2-d3-w3-c0,2,3,3,0,0,0,0,olfactory_subdomain_2026_04_27
olfactory,Bose-Einstein factor,1/(exp(hbar*omega/(T*k_B)) - 1),p1-d3-w1-c0,1,3,1,0,0,1,0,olfactory_subdomain_2026_04_27
olfactory,Lorentzian,gamma_l/(2*(gamma_l**2/4 + (omega - omega_0)**2)),p0-d7-w0-c0,0,7,0,0,0,0,0,olfactory_subdomain_2026_04_27
olfactory,Firing frequency,f_max/((C_thresh/C)**n + 1),p1-d6-w1-c0,1,6,1,0,0,0,0,olfactory_subdomain_2026_04_27
olfactory,HH gating sigmoid,1/(exp((-V + V_half)/k_slope) + 1),p1-d4-w1-c0,1,4,1,0,0,1,0,olfactory_subdomain_2026_04_27
olfactory,Receptor potential,V_max*(1 - exp(-t/tau))*exp(-t/tau_d),p1-d6-w1-c0,1,6,1,0,0,0,0,olfactory_subdomain_2026_04_27
olfactory,Softmax 3-class,exp(x1)/(exp(x1) + exp(x2) + exp(x3)),p1-d4-w3-c0,1,4,3,0,0,0,0,olfactory_subdomain_2026_04_27
olfactory,Gaussian kernel,exp(-(x - y)**2/(2*sigma**2)),p1-d5-w0-c0,1,5,0,0,0,0,0,olfactory_subdomain_2026_04_27
olfactory,RBF kernel,exp(-gamma_rbf*(x - y)**2),p1-d5-w0-c0,1,5,0,0,0,0,0,olfactory_subdomain_2026_04_27
olfactory,Cross-entropy,-y*log(p),p1-d2-w1-c0,1,2,1,0,0,0,0,olfactory_subdomain_2026_04_27
olfactory,Poincaré distance,acosh(2*d_uv**2/((1 - u_n**2)*(1 - v_n**2)) + 1),p1-d7-w0-c0,1,7,0,0,0,0,0,olfactory_subdomain_2026_04_27
olfactory,Weber-Fechner,log(C2/C1),p1-d3-w0-c0,1,3,0,0,0,0,0,olfactory_subdomain_2026_04_27
color_science,Frequency from wavelength,c/lambda,p0-d2-w0-c0,0,2,0,0,0,0,0,color_science_subdomain_2026_04_27
color_science,Planck energy,h*nu,p0-d1-w0-c0,0,1,0,0,0,0,0,color_science_subdomain_2026_04_27
color_science,Photon energy,c*h/lambda,p0-d2-w0-c0,0,2,0,0,0,0,0,color_science_subdomain_2026_04_27
color_science,Planck radiation,2*h*nu**3/(c**2*(exp(h*nu/(T*k_B)) - 1)),p1-d4-w1-c0,1,4,1,0,0,0,0,color_science_subdomain_2026_04_27
color_science,Wien displacement,b/T,p0-d2-w0-c0,0,2,0,0,0,0,0,color_science_subdomain_2026_04_27
color_science,Stefan-Boltzmann,A*T**4*sigma_sb,p0-d2-w0-c0,0,2,0,0,0,0,0,color_science_subdomain_2026_04_27
color_science,Beer-Lambert,I_0*exp(-L_path*alpha*c_conc),p1-d3-w1-c0,1,3,1,0,0,0,0,color_science_subdomain_2026_04_27
color_science,Rayleigh scattering,lambda**(-4),p0-d1-w0-c0,0,1,0,0,0,0,0,color_science_subdomain_2026_04_27
color_science,CIE Gaussian single,a1*exp(-(lambda - mu1)**2/sigma1**2),p1-d6-w1-c0,1,6,1,0,0,0,0,color_science_subdomain_2026_04_27
color_science,CIE triple Gaussian,a1*exp(-(lambda - mu1)**2/sigma1**2) + a2*exp(-(lambda - mu2)**2/sigma2**2) + a3*exp(-(lambda - mu3)**2/sigma3**2),p1-d7-w1-c0,1,7,1,0,0,0,0,color_science_subdomain_2026_04_27
color_science,Chromaticity x,X/(X + Y + Z),p0-d3-w0-c0,0,3,0,0,0,0,0,color_science_subdomain_2026_04_27
color_science,Chromaticity y,Y/(X + Y + Z),p0-d3-w0-c0,0,3,0,0,0,0,0,color_science_subdomain_2026_04_27
color_science,XYZ integrand,2*a1*h*nu**3*exp(-(lambda - mu1)**2/sigma1**2)/(c**2*(exp(h*nu/(T*k_B)) - 1)),p1-d6-w2-c0,1,6,2,0,0,0,0,color_science_subdomain_2026_04_27
color_science,Gamma correction 2.2,V_in**(11/5),p1-d1-w0-c0,1,1,0,0,0,0,0,color_science_subdomain_2026_04_27
color_science,sRGB transfer 5/12,C_lin**(5/12),p1-d1-w0-c0,1,1,0,0,0,0,0,color_science_subdomain_2026_04_27
color_science,HSL to R,L + S*cos(H),p2-d5-w1-c1,2,5,1,1,0,0,0,color_science_subdomain_2026_04_27
color_science,HSL to G,L - S*cos(H + pi/3),p2-d7-w1-c1,2,7,1,1,0,0,0,color_science_subdomain_2026_04_27
color_science,McCamy CCT polynomial,449*n_mc**3 + 3525*n_mc**2 + 68233*n_mc/10 + 552033/100,p0-d3-w0-c0,0,3,0,0,0,0,0,color_science_subdomain_2026_04_27
